,tasks_completed,no_unreachable_locs
0,30,884
1,35,868
2,38,898
3,39,899
4,41,915
5,48,910
6,44,921
7,46,916
8,44,913
9,44,907
10,44,889
11,43,910
12,45,919
13,38,902
14,42,892
15,42,914
16,49,939
17,38,876
18,42,914
19,42,924
20,44,918
21,45,911
22,45,926
23,21,813
24,42,877
25,32,872
26,43,907
27,44,901
28,52,935
29,39,903
30,47,914
31,49,936
32,40,894
33,31,874
34,47,936
35,42,920
36,46,912
37,45,929
38,38,897
39,47,909
40,43,889
41,44,927
42,42,892
43,43,908
44,43,887
45,46,929
46,48,918
47,44,903
48,45,913
49,38,904
50,44,904
51,38,889
52,31,849
53,45,923
54,28,878
55,39,878
56,37,885
57,45,929
58,39,892
59,40,914
60,43,906
61,41,892
62,45,918
63,39,853
64,48,933
65,36,897
66,35,898
67,44,920
68,42,904
69,42,913
70,32,871
71,36,894
72,43,926
73,48,924
74,37,879
75,47,930
76,36,901
77,46,928
78,46,924
79,43,918
80,47,923
81,46,922
82,40,911
83,35,838
84,43,917
85,38,904
86,46,909
87,43,892
88,49,922
89,47,921
90,51,928
91,39,917
92,44,919
93,39,908
94,51,932
95,41,899
96,35,904
97,45,916
98,45,916
99,42,915
100,49,919
101,43,910
102,42,890
103,35,875
104,40,907
105,35,848
106,43,915
107,43,912
108,35,889
109,41,908
110,33,870
111,46,927
112,34,876
113,35,881
114,33,886
115,42,898
116,18,764
117,28,863
118,42,907
119,39,892
120,45,915
121,48,924
122,41,902
123,31,808
124,47,932
125,40,900
126,42,896
127,36,901
128,38,868
129,41,919
130,28,871
131,43,905
132,39,912
133,44,927
134,32,861
135,36,896
136,43,912
137,44,903
138,39,901
139,39,902
140,41,884
141,47,925
142,39,889
143,46,918
144,39,894
145,40,876
146,47,924
147,48,934
148,48,923
149,43,922
150,45,929
151,34,893
152,47,923
153,50,930
154,44,892
155,44,912
156,44,910
157,45,910
158,47,897
159,43,923
